id,lat,lon,traffic_signals,stop
67543067,33.8591745,-117.9648742,False,False
111654476,33.8507855,-118.0110966,True,False
111654485,33.8572453,-118.0111545,True,False
111654840,33.8703994,-118.0112691,False,False
111654870,33.8734198,-118.0113949,True,False
114948203,33.8734896,-117.9983339,False,False
114948214,33.8768507,-117.998365,True,False
122435898,33.9010776,-118.0142174,False,False
122435932,33.9011819,-118.0154036,False,False
122503883,33.9351333,-118.0131036,False,False
122523812,33.873411,-118.0117428,False,False
122560242,33.8538119,-118.0151314,False,False
122560246,33.9042797,-117.8568024,False,False
122560629,33.8495974,-117.952579,False,False
122561537,33.8991703,-118.0259869,False,False
122563729,33.8693375,-117.8416931,False,False
122563734,33.869342,-117.8409081,False,False
122563736,33.8693347,-117.8403631,False,False
122563746,33.8708076,-117.8409554,False,False
122563751,33.8708078,-117.8414905,False,False
122563755,33.870821,-117.8423791,False,False
122563757,33.8703257,-117.8423372,False,False
122564574,33.8610064,-117.8784261,True,False
122566171,33.9236001,-118.0161485,False,False
122567553,33.8932726,-118.0035667,False,False
122567556,33.8934546,-118.0034299,False,False
122569609,33.9256125,-118.0132978,False,False
122569612,33.9241039,-118.0127247,False,False
122569613,33.9234274,-118.0133094,False,False
122569616,33.9228504,-118.0138025,False,False
122569621,33.9212456,-118.0146142,False,False
122569624,33.9208572,-118.0152249,False,False
122569627,33.9204936,-118.0159714,False,False
122572768,33.9001507,-118.0072015,False,False
122572770,33.8994453,-118.0072009,False,False
122572774,33.8986583,-118.0071791,True,False
122574177,33.9203303,-118.0274073,False,False
122574180,33.9208093,-118.0265511,False,False
122574185,33.9215196,-118.0252969,False,False
122574860,33.834568,-117.9979171,False,False
122575264,33.8173877,-117.9967401,False,False
122576559,33.8286377,-117.9939852,False,False
122578438,33.8927868,-117.9985279,False,False
122578442,33.8922176,-117.9990062,False,False
122578444,33.8916709,-117.9994517,False,False
122578446,33.891125,-117.9999042,False,False
122578452,33.8889263,-117.9983672,False,False
122580051,33.917746,-118.0038044,False,False
122584073,33.8920593,-117.8713424,False,False
122584969,33.9305458,-118.011864,False,False
122584972,33.9305244,-118.0100685,False,False
122584976,33.9305103,-118.0081387,False,False
122585008,33.9304832,-118.0008595,False,False
122585025,33.9331489,-117.9899218,False,False
122585029,33.9331926,-117.9891361,False,False
122585032,33.9332716,-117.9881309,False,False
122585033,33.9334629,-117.9873525,False,False
122590875,33.9170592,-118.0266742,False,False
122590935,33.9305548,-118.0218817,False,False
122590938,33.9298767,-118.022549,False,False
122590940,33.9292133,-118.0232003,False,False
122590948,33.9316099,-118.0208491,False,False
122593222,33.9158982,-118.0273831,False,False
122595053,33.8436516,-117.8608248,False,False
122595058,33.8436887,-117.8605055,False,False
122597641,33.9290101,-117.9406327,False,False
122598221,33.9013259,-118.0177385,False,False
122598223,33.901013,-118.017097,False,False
122598225,33.9006656,-118.0164074,False,False
122598228,33.900515,-118.0154051,False,False
122598240,33.9030652,-118.0222821,False,False
122598243,33.9027893,-118.0214027,False,False
122598245,33.9024516,-118.0206188,False,False
122598247,33.9019808,-118.0196141,False,False
122598249,33.9015097,-118.0186459,False,False
122602453,33.9009635,-118.009857,False,False
122602465,33.9006059,-118.0059573,False,False
122602468,33.9010351,-118.005272,False,False
122602476,33.9026756,-118.0042784,False,False
122603426,33.9296539,-117.9854594,True,False
122603430,33.9275844,-117.9829509,False,False
122603436,33.9259475,-117.981333,True,False
122603438,33.9248439,-117.9789199,False,False
122603442,33.9246851,-117.9770621,True,False
122603901,33.8542584,-117.8446578,True,False
122604493,33.8327787,-117.9516792,False,False
122605987,33.9249351,-117.8687501,False,False
122606531,33.8768493,-117.8599349,False,False
122606714,33.8602917,-117.944903,False,False
122606798,33.9240748,-118.019847,False,False
122607430,33.8504368,-117.8936011,False,False
122607842,33.8506908,-117.8217569,False,False
122612628,33.9203218,-118.010252,False,False
122612629,33.920087,-118.0094381,False,False
122612631,33.9198553,-118.0085989,False,False
122612636,33.9206525,-118.0138758,False,False
122612638,33.9205144,-118.0130004,False,False
122612662,33.8998288,-117.8326629,False,False
122613509,33.8728365,-117.8337352,False,False
122614898,33.895517,-117.9958495,False,False
122614901,33.8932062,-117.9958255,False,False
